City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
269,Souillac,MU,72.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
275,Katsina,NG,85.95,clear sky,12.9894,7.6006,Katsina Motel
276,The Valley,AI,89.46,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
277,Guerrero Negro,MX,74.3,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
278,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
280,Santa Rosalia,MX,79.65,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
287,Samfya,ZM,79.5,scattered clouds,-11.3649,29.5565,Chita Lodge Samfya
289,Port Moresby,PG,78.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
290,Lagoa,PT,71.02,broken clouds,39.05,-27.9833,Casa Das Faias
294,Gamba,GA,75.49,overcast clouds,-2.65,10.0,
300,Bouna,CI,75.9,broken clouds,9.2667,-3.0,Hotel Reserve
302,Coari,BR,87.01,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
305,Iberia,US,86.99,broken clouds,29.9502,-91.7507,back to back rv park
307,Boyolangu,ID,74.97,overcast clouds,-8.1181,111.8935,Yos ega cv
308,Amarante Do Maranhao,BR,85.21,overcast clouds,-5.5667,-46.7422,Hotéis Caçulinha
309,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
310,Ranau,MY,70.45,overcast clouds,5.9538,116.6641,The Second Room
311,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
312,Montalvo,EC,86.81,light rain,-1.8,-79.3333,Motel Los Laureles
313,Haapiti,PF,80.33,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
318,Suluq,LY,73.98,clear sky,31.6682,20.2521,منزل عبدالواحد خليفة الفاخري
320,Mocajuba,BR,88.3,overcast clouds,-2.5842,-49.5072,Hotel Saylon Mocajuba
321,Laguna,US,87.64,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
323,Asfi,MA,73.63,few clouds,32.2994,-9.2372,Hôtel Abda
324,Dwarka,IN,80.94,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
328,Pasighat,IN,74.77,clear sky,28.0667,95.3333,Siang Guest House
331,Srivardhan,IN,77.27,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
333,Atchison,US,85.37,broken clouds,39.563,-95.1216,"Quality Inn, Atchison"
334,Biltine,TD,87.04,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
338,Salalah,OM,82.49,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
341,Maragogi,BR,76.23,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
344,Patan,NP,70.18,broken clouds,27.6667,85.3333,Hotel Goodwill
347,Douglas,US,83.55,scattered clouds,41.3,-96.167,Hilton Garden Inn Omaha West
348,Magalia,US,85.53,clear sky,39.8121,-121.5783,Kris West Park
349,Trapani,IT,73.58,few clouds,37.8333,12.6667,
352,Isangel,VU,71.71,overcast clouds,-19.55,169.2667,Tanna Lodge
354,Pasni,PK,82.2,overcast clouds,25.2631,63.471,Kashmiri Hotal
355,Abu Samrah,SY,71.01,clear sky,35.3029,37.1841,
356,Benghazi,LY,75.24,clear sky,32.1167,20.0667,Tibesti Hotel
360,Fortuna,US,75.42,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
361,Carutapera,BR,82.63,overcast clouds,-1.195,-46.02,Lidera
362,Jizan,SA,88.74,overcast clouds,17.3333,42.6667,شهدان. ابوالحجر
366,Zirandaro,MX,89.55,broken clouds,18.45,-100.9833,Hotel Pineda
370,Kasangulu,CD,70.74,light rain,-4.5911,15.1708,Hôtel le Relais
372,Mahebourg,MU,72.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
373,Ambilobe,MG,71.35,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
374,Itarema,BR,81.66,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
378,Bartica,GY,82.72,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
384,Ca Mau,VN,77.36,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
386,Tomatlan,MX,86.56,overcast clouds,19.9333,-105.25,El Salvial
387,Robertsport,LR,79.56,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
391,Buraydah,SA,82.85,clear sky,26.326,43.975,فندق راحة السلام
392,Makakilo City,US,80.92,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
395,Dakar,SN,84.33,broken clouds,14.6937,-17.4441,Redface Studios Meublés
400,Qeshm,IR,89.49,broken clouds,26.9581,56.2719,Qeshm Kavan Hotel
401,Cap Malheureux,MU,72.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
402,Grenville,GD,83.82,broken clouds,12.1167,-61.6167,Valley Breeze Guest House
406,Raga,SS,74.32,broken clouds,8.4596,25.678,
410,Itoman,JP,82.78,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
415,Santa Isabel Do Rio Negro,BR,83.44,overcast clouds,-0.4139,-65.0192,Hotel GSA
418,Nhulunbuy,AU,72.21,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
419,Nishihara,JP,82.06,scattered clouds,26.1842,127.7558,Minshuku Agaihama
421,Linhares,BR,75.15,broken clouds,-19.3911,-40.0722,Hotel Conceição
424,Igunga,TZ,80.11,overcast clouds,-4.2833,33.8833,Victoria Lodge
425,Grand-Lahou,CI,77.18,scattered clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
426,Labuhan,ID,78.33,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
429,Kutum,SD,80.51,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
430,Lithakia,GR,72.59,few clouds,37.7167,20.8333,Zante Plaza Hotel & Apartments
431,Maningrida,AU,75.72,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
438,Tura,IN,73.63,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
440,Loa Janan,ID,74.52,light rain,-0.583,117.095,Rumah Elys Fitria Wahyuning Tyas
442,Bakhtiyarpur,IN,73.42,overcast clouds,25.4667,85.5167,Abhinav kumar
451,Tibacuy,CO,84.27,overcast clouds,4.3511,-72.4564,hospedaje las palmas
455,Bang Saphan,TH,77.09,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
457,Ilhabela,BR,70.92,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
458,Inirida,CO,88.74,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
461,Teguise,ES,71.82,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
466,Matara,LK,77.49,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
467,Sioux Lookout,CA,77.07,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
470,Mumbwa,ZM,78.31,clear sky,-14.9783,27.0619,Mumbwa Motel
471,Morondava,MG,76.68,clear sky,-20.2833,44.2833,La Case Bambou
475,Chongwe,ZM,77.36,broken clouds,-15.3292,28.682,Grakas Lodge
477,Kieta,PG,78.51,light rain,-6.2167,155.6333,Uruna Bay Retreat
479,Charcas,MX,72.12,broken clouds,23.1333,-101.1167,Hotel El Malacate
482,Pahrump,US,80.26,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
486,Khash,IR,74.16,broken clouds,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
487,Hobyo,SO,78.31,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
488,Tikrit,IQ,81.63,clear sky,34.6071,43.6782,عماره العبطه
491,Loandjili,CG,78.91,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
492,Mount Isa,AU,73.17,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
493,Sakakah,SA,85.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
496,Praia Da Vitoria,PT,73.76,few clouds,38.7333,-27.0667,Hotel Branco I
499,Omboue,GA,76.93,overcast clouds,-1.5746,9.2618,Hotel Olako
500,Chapeco,BR,82.13,overcast clouds,-27.0964,-52.6183,Golden Hotel
501,Touros,BR,85.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
502,Sabha,LY,79.18,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
506,Najran,SA,77.65,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
509,Xaxim,BR,80.98,broken clouds,-26.9617,-52.5347,Hotel São Luiz
511,Kahului,US,80.62,light rain,20.8947,-156.47,Maui Seaside Hotel
512,Elizabeth City,US,80.02,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
513,Karratha,AU,73.06,light rain,-20.7377,116.8463,ibis Styles Karratha
514,Vila Velha,BR,75.15,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
515,Saint-Leu,RE,70.63,few clouds,-21.15,55.2833,La Caz Oceane
516,Tezu,IN,73.49,clear sky,27.9167,96.1667,Circuit House
517,Caravelas,BR,77.25,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
521,Tsiroanomandidy,MG,74.8,overcast clouds,-18.7667,46.0333,Hotel du Bongolave
528,Puerto El Triunfo,SV,84.81,scattered clouds,13.2833,-88.55,Hotel Jardin
530,Wattegama,LK,76.57,overcast clouds,6.7989,81.4808,
531,Saint Anthony,US,83.1,few clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
532,Itabera,BR,80.96,clear sky,-23.8619,-49.1372,Rancho das Pedras Hotel
534,Auki,SB,78.85,overcast clouds,-8.7676,160.7034,Auki Motel
536,Paita,PE,77.56,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
538,Maracacume,BR,81.41,heavy intensity rain,-2.0428,-45.9592,Hotel Ramos
539,Kapit,MY,73.02,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
540,Meulaboh,ID,75.83,heavy intensity rain,4.1363,96.1285,Kost Pria
542,Awjilah,LY,77.76,scattered clouds,29.1081,21.2869,
545,Saurikh,IN,80.58,clear sky,27.029,79.4896,Raza Biryani& Shami Kabab Shop
547,Labuan,MY,77.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
549,Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
550,Ranong,TH,77.72,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
554,Neiafu,TO,77.68,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
556,Padang,ID,76.6,light rain,-0.9492,100.3543,Mercure Padang
559,Qui Nhon,VN,77.77,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
560,Lorengau,PG,77.86,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
567,North Myrtle Beach,US,84.25,broken clouds,33.816,-78.68,Avista Resort
571,Tabas,IR,82.71,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
574,Kirakira,SB,80.15,overcast clouds,-10.4544,161.9205,SanBiz Lodge
575,Pemba,MZ,77.7,broken clouds,-12.974,40.5178,Guesthouse Samotina
577,Buala,SB,80.28,light rain,-8.145,159.5921,Maringe Lagoon Lodge
578,Dawei,MM,76.84,few clouds,14.0833,98.2,Hotel Dawei
579,Marsh Harbour,BS,81.21,light rain,26.5412,-77.0636,Abaco Beach Resort
582,Sigli,ID,77.61,light rain,5.3848,95.9609,Losmen Dua Mali
583,Aswan,EG,87.1,clear sky,24.0934,32.907,Nuba Nile
