City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,Port Keats,AU,-14.25,129.55,78.28,85,6,5.91,clear sky
167,Kununurra,AU,-15.7667,128.7333,73.38,88,40,1.14,scattered clouds
168,Saint Joseph,US,39.7686,-94.8466,85.51,62,40,8.05,scattered clouds
169,Ribeira Grande,PT,38.5167,-28.7,73.8,83,20,6.91,mist
170,Odweyne,SO,9.4092,45.064,77.7,53,98,10.83,light rain
171,Saint-Joseph,RE,-21.3667,55.6167,70.16,78,31,10.16,scattered clouds
172,Anadyr,RU,64.75,177.4833,23.5,79,20,8.01,few clouds
173,Cabo San Lucas,MX,22.8909,-109.9124,92.61,62,20,10.36,few clouds
174,Constitucion,CL,-35.3333,-72.4167,56.43,56,10,13.73,clear sky
175,Reconquista,AR,-29.15,-59.65,94.71,35,39,9.13,scattered clouds
176,Adrar,MR,20.5022,-10.0711,93.92,9,0,8.34,clear sky
177,Kyra,RU,49.5776,111.9753,26.15,81,4,3.27,clear sky
178,Muriti,TZ,-1.9833,32.9167,71.71,68,90,4.76,overcast clouds
179,Jacareacanga,BR,-6.2222,-57.7528,95.31,46,0,5.75,clear sky
180,Sandwick,GB,60.0,-1.25,53.42,100,75,11.5,broken clouds
181,Cidreira,BR,-30.1811,-50.2056,65.52,76,100,24.52,light rain
182,San Quintin,MX,30.4833,-115.95,73.27,63,0,11.12,clear sky
183,Victoria,HK,22.2855,114.1577,86.32,88,24,1.99,light rain
184,Praya,CV,14.9215,-23.5087,82.94,74,40,11.5,scattered clouds
185,Acarau,BR,-2.8856,-40.12,82.15,73,64,17.13,broken clouds
186,Axim,GH,4.8699,-2.2405,77.45,88,90,8.08,overcast clouds
187,Paamiut,GL,61.994,-49.6678,36.97,67,0,25.48,clear sky
188,Ixtapa,MX,20.7,-105.2,87.22,71,40,4.0,scattered clouds
189,Saskylakh,RU,71.9167,114.0833,16.74,95,97,2.42,overcast clouds
190,Mamurras,AL,41.5775,19.6922,62.74,77,0,2.3,clear sky
191,Rasipuram,IN,11.4667,78.1667,74.16,95,100,2.42,overcast clouds
