City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,Tuktoyaktuk,CA,2021-09-29 16:48:53,69.4541,-133.0374,33.8,100,90,27.63
108,Anage,BR,2021-09-29 16:48:54,-14.6122,-41.1356,93.85,24,6,5.61
109,Novoagansk,RU,2021-09-29 16:48:54,61.9449,76.6625,35.31,80,97,6.29
110,Wattegama,LK,2021-09-29 16:48:55,6.7989,81.4808,79.41,74,88,1.81
111,Talnakh,RU,2021-09-29 16:48:55,69.4865,88.3972,33.12,79,100,12.26
112,Muyezerskiy,RU,2021-09-29 16:48:56,63.9333,31.65,44.08,91,63,4.21
113,Tateyama,JP,2021-09-29 16:48:57,34.9833,139.8667,72.01,71,100,6.42
114,Longjiang,CN,2021-09-29 16:48:57,47.3303,123.1836,42.08,50,12,6.73
115,Lagoa,PT,2021-09-29 16:48:58,39.05,-27.9833,71.74,86,0,7.07
116,Mahebourg,MU,2021-09-29 16:48:58,-20.4081,57.7,72.25,78,20,11.5
117,Sapa,PH,2021-09-29 16:48:59,5.1544,120.3241,82.44,77,93,3.67
118,Kushima,JP,2021-09-29 16:49:00,31.4583,131.2333,73.06,88,31,7.47
119,San Patricio,US,2021-09-29 16:49:00,28.017,-97.5169,80.47,60,39,12.19
120,Severo-Kurilsk,RU,2021-09-29 16:49:01,50.6789,156.125,49.78,91,60,4.36
121,Clyde River,CA,2021-09-29 16:49:01,70.4692,-68.5914,32.23,100,90,19.57
122,Shakawe,BW,2021-09-29 16:49:02,-18.3667,21.85,85.55,13,41,1.61
123,Myingyan,MM,2021-09-29 16:49:02,21.4667,95.3833,83.19,71,16,0.76
124,Port Hedland,AU,2021-09-29 16:49:03,-20.3167,118.5667,64.45,94,1,0.0
125,Ahipara,NZ,2021-09-29 16:49:03,-35.1667,173.1667,54.39,84,54,9.04
126,Muscle Shoals,US,2021-09-29 16:49:04,34.7448,-87.6675,84.25,70,20,3.0
